userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,isFake
258,238,0,0,1,0,0,10,0
263,482,30,29,1,1,0,8,0
51,78,9,0,1,1,0,10,0
297,480,22,25,1,1,2,9,0
113,242,0,95,1,1,0,10,0
545,995,26,340,1,1,0,8,0
52,121,0,30,1,1,0,9,0
1038,6640,0,156,1,0,0,12,0
172,227,51,10,1,0,0,10,0
101,114,14,4,1,1,0,15,0
250,247,31,4,1,0,0,7,0
413,677,0,38,1,1,0,15,0
172,187,1,7,1,1,0,10,0
337,455,0,2,1,1,0,14,0
114,155,29,8,1,1,2,12,0
174,165,0,76,1,1,1,9,0
372,362,36,13,1,1,0,7,0
338,330,41,17,1,0,0,12,0
2207,593,47,198,1,0,0,15,0
449,410,19,19,1,1,0,8,0
594,863,105,276,1,1,0,9,0
679,764,23,39,1,1,0,11,0
569,539,41,95,1,1,0,11,0
540,543,0,73,1,1,0,12,0
441,368,25,30,1,1,0,8,0
570,455,37,120,1,1,0,10,0
368,1114,16,69,1,0,0,8,0
634,648,59,21,1,0,0,9,0
687,539,18,78,1,0,0,9,0
579,413,36,221,1,0,0,11,0
752,726,0,312,1,1,0,12,0
861,686,0,323,1,0,0,9,0
535,368,122,49,1,1,0,18,0
1872,1806,39,374,1,1,0,11,0
257,149,33,39,1,0,0,7,0
3140,496,63,807,1,1,0,5,0
491,745,0,373,1,1,3,16,0
434,528,23,93,1,1,0,9,0
1073,837,0,49,1,1,0,14,0
1532,1431,57,313,1,1,0,11,0
737,875,87,53,1,0,0,10,0
335,353,26,2,1,1,0,14,0
399,364,47,9,1,1,0,16,0
310,330,0,0,1,1,1,5,0
392,379,21,8,1,0,0,13,0
163,186,0,0,1,1,0,8,0
642,707,8,10,1,1,0,12,0
594,800,28,21,1,1,0,12,0
295,302,11,2,1,1,0,11,0
377,539,76,40,1,0,0,11,0
345,393,0,2,1,1,0,8,0
667,660,0,20,1,1,0,7,0
347,610,44,14,1,1,2,14,0
340,378,27,9,1,1,0,12,0
1136,976,110,188,1,1,0,10,0
206,201,10,16,1,1,0,9,0
873,913,66,52,1,1,1,15,0
289,224,59,10,1,1,0,16,0
510,594,0,25,1,1,0,11,0
804,648,2,29,1,1,0,13,0
542,531,41,78,1,1,0,14,0
516,555,57,39,1,1,0,12,0
472,431,32,59,1,1,0,9,0
138,124,10,2,1,1,0,13,0
201,317,79,14,1,1,0,8,0
234,242,4,11,1,1,0,11,0
302,306,27,37,1,1,0,11,0
586,779,0,88,1,0,0,9,0
260,410,0,3,1,1,0,7,0
377,508,0,25,1,1,0,10,0
561,508,45,114,1,0,0,9,0
720,643,16,93,1,1,0,13,0
413,677,0,38,1,1,0,15,0
415,416,67,45,1,1,0,9,0
247,289,35,70,1,1,0,14,0
321,391,0,1,1,1,0,12,0
847,652,6,83,1,0,0,7,0
312,323,22,12,1,1,0,7,0
535,426,13,60,1,0,0,12,0
323,326,28,8,1,1,0,9,0
521,1282,0,156,1,1,0,13,0
258,286,24,5,1,1,0,9,0
306,329,128,11,1,1,0,9,0
256,307,6,12,1,1,0,11,0
346,303,14,16,1,0,0,11,0
300,267,15,22,1,0,0,10,0
230,230,8,2,1,1,0,12,0
516,538,10,20,1,1,0,14,0
257,254,76,26,1,1,0,7,0
334,411,40,21,1,0,0,16,0
195,396,27,31,1,1,0,14,0
740,940,53,483,1,1,0,9,0
340,343,0,8,1,1,0,11,0
404,461,0,1,1,0,0,15,0
197,320,0,9,1,1,0,10,0
474,410,74,33,1,1,0,14,0
213,153,19,209,1,1,0,8,0
936,706,35,61,1,1,1,16,0
207,196,0,7,1,1,0,11,0
77,92,0,0,1,1,0,10,0
453,528,24,75,1,1,0,15,0
293,339,12,92,1,1,0,10,0
473,497,8,16,1,1,0,12,0
379,436,7,56,1,1,0,12,0
642,776,85,236,1,1,4,15,0
350,393,26,19,1,1,0,8,0
167,184,33,10,1,1,2,10,0
301,444,81,60,1,1,0,6,0
536,504,74,134,1,1,0,15,0
374,311,0,23,1,1,0,10,0
342,343,50,56,1,1,2,6,0
673,587,41,11,1,1,0,11,0
426,486,60,110,1,0,0,12,0
593,923,13,34,1,1,0,9,0
313,280,0,13,1,0,0,15,0
292,447,0,47,1,1,0,10,0
95,106,0,0,1,1,0,7,0
186,217,14,5,1,0,0,12,0
275,602,43,25,1,1,0,8,0
96,174,0,1,0,1,0,15,0
322,1496,0,53,0,1,4,10,0
371,376,0,3,1,1,0,6,0
153,180,17,6,1,1,0,11,0
585,576,0,43,1,1,0,12,0
486,578,0,3,1,0,4,17,0
402,524,3,79,1,1,0,8,0
527,527,25,10,1,1,4,10,0
237,283,0,0,1,1,0,10,0
321,330,32,8,1,1,0,6,0
274,267,19,3,1,1,0,10,0
262,522,0,11,1,0,2,11,0
109,115,0,0,1,1,0,18,0
425,477,4,137,1,1,0,11,0
36,315,10,0,1,0,0,11,0
1206,962,0,141,1,1,0,11,0
156,199,42,2,1,0,0,11,0
284,361,45,41,1,1,0,19,0
225,446,0,53,1,0,0,11,0
346,390,14,8,1,1,0,9,0
339,378,61,1,1,1,0,15,0
760,577,20,15,1,0,0,9,0
218,221,10,8,1,1,0,15,0
319,328,23,6,1,1,0,11,0
507,493,59,25,1,1,0,12,0
